range_start,range_end,AS_number,country_code,AS_description
111.21.130.0,111.21.137.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.138.0,111.21.154.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.155.0,111.21.157.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.158.0,111.21.170.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.171.0,111.21.203.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.204.0,111.21.222.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.223.0,111.21.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.22.0.0,111.22.1.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.2.0,111.22.27.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.28.0,111.22.29.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.30.0,111.22.39.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.40.0,111.22.59.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.60.0,111.22.63.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.64.0,111.22.67.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.22.68.0,111.22.72.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.73.0,111.22.76.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.77.0,111.22.92.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.93.0,111.22.96.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.97.0,111.22.104.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.105.0,111.22.107.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.108.0,111.22.110.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.111.0,111.22.115.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.116.0,111.22.120.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.121.0,111.22.121.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.122.0,111.22.128.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.129.0,111.22.146.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.147.0,111.22.149.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.150.0,111.22.154.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.155.0,111.22.187.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.188.0,111.22.200.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.201.0,111.22.220.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.221.0,111.22.233.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.22.234.0,111.23.17.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.18.0,111.23.21.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.22.0,111.23.25.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.26.0,111.23.33.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.34.0,111.23.37.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
